日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,34-40-39,05-05-10,34-31-40,05-01-09,35-36-39,09-01-08,35-32-38,09-03-07,31-33-36,01-04-06,36-32-35,10-06-05
2,35-39-40,09-04-07,35-32-39,09-10-08,35-33-38,09-02-07,35-31-37,01-02-06,36-34-35,10-03-05,34-39-34,08-03-04
3,35-38-37,09-03-08,35-39-38,09-09-07,35-34-37,01-09-06,31-40-36,10-01-05,34-31-34,08-02-04,39-40-33,09-04-03
4,35-37-38,01-02-05,35-40-37,08-08-05,31-31-36,10-10-05,36-39-35,08-10-04,39-32-33,09-01-03,33-37-32,09-01-02
5,31-36-35,02-02-06,34-37-35,02-07-06,32-32-36,07-07-03,34-38-34,09-09-03,33-39-32,09-10-02,33-38-31,09-02-01
6,32-35-32,07-09-03,32-38-36,07-06-03,33-39-33,07-08-04,33-38-34,09-08-02,33-40-31,09-09-01,45-45-50,15-19-20
7,33-34-39,07-10-04,33-35-33,07-05-04,33-40-34,07-05-01,37-36-31,10-08-02,42-47-49,15-18-20,46-46-50,16-20-20
8,33-33-40,07-07-01,33-36-34,07-04-01,37-37-31,10-06-02,34-35-32,18-15-19,46-48-50,16-17-20,41-43-47,18-17-17
9,37-32-37,10-08-02,37-33-31,10-03-02,34-38-32,18-13-19,42-44-49,16-16-20,41-45-47,14-16-17,41-44-48,17-18-18
10,34-31-38,18-15-19,34-34-32,18-12-19,42-45-49,16-14-20,46-43-50,17-13-17,41-46-48,17-15-18,41-41-45,11-15-15
11,42-50-45,16-16-20,42-41-49,16-11-20,46-46-50,17-11-17,41-42-47,17-14-18,41-43-45,11-14-15,44-42-46,18-16-16
12,46-49-46,17-13-17,46-42-50,17-20-17,41-43-47,17-12-18,41-41-48,11-11-15,44-44-46,18-13-16,42-49-43,16-13-13
13,41-48-43,17-12-18,41-49-47,17-19-18,41-46-48,19-19-15,41-50-45,18-12-16,42-41-43,16-12-13,50-50-44,20-14-14
14,41-47-50,19-19-15,51-50-48,19-16-15,45-43-45,18-20-16,44-49-46,16-19-13,50-42-44,20-11-14,41-47-41,15-11-11
15,45-46-47,18-20-16,45-47-45,17-15-15,44-44-46,14-17-13,42-48-43,12-14-14,41-49-41,15-20-11,41-44-42,15-12-12
16,44-43-48,14-17-14,43-47-45,13-14-14,48-41-44,12-19-13,46-47-44,15-11-11,41-50-42,15-19-12,53-51-59,30-29-29
17,48-42-45,12-18-13,48-46-44,12-20-13,46-42-43,18-18-12,41-44-41,13-12-12,53-57-59,29-28-29,52-52-60,28-30-30
18,46-41-46,18-15-12,46-45-43,18-17-12,42-49-42,17-17-11,49-43-41,29-29-30,51-57-59,28-23-30,58-59-58,22-28-28
19,42-48-43,17-16-11,42-44-42,17-18-11,47-50-41,29-26-30,53-52-60,27-30-29,58-56-58,22-22-28,56-60-57,30-27-27
20,47-47-44,27-21-30,47-43-41,27-25-30,51-53-60,27-25-29,51-55-59,23-27-28,56-55-57,30-21-27,52-57-56,25-26-26
21,51-56-59,27-22-29,51-52-60,27-26-29,51-54-59,23-24-28,53-54-58,30-28-27,52-54-56,26-21-26,51-58-55,21-25-25
22,51-55-60,23-29-28,51-51-59,23-23-28,53-51-58,28-23-27,52-53-57,26-23-26,51-53-55,21-22-25,51-53-54,25-24-24
23,53-54-57,28-30-27,53-60-58,28-24-27,52-52-57,26-22-26,52-52-56,21-24-25,51-52-54,25-29-24,51-54-53,25-23-23
24,52-53-58,26-27-26,52-59-57,26-21-26,52-59-56,21-21-25,51-51-55,25-21-24,51-51-53,25-30-23,57-51-52,27-22-22
25,52-52-55,21-28-25,52-58-56,21-22-25,51-60-55,25-30-24,51-60-54,25-22-23,57-60-52,27-27-22,52-52-51,26-21-21
26,51-51-56,25-25-24,51-57-55,25-29-24,51-57-54,25-27-23,51-59-53,27-29-22,52-59-51,26-28-21,10-09-10,36-40-40
27,51-60-53,25-26-23,51-56-54,25-30-23,51-58-53,27-26-22,57-58-52,26-30-21,10-08-10,36-35-40,05-10-09,35-39-39
28,51-59-54,27-23-22,51-55-53,27-27-22,57-55-52,26-25-21,52-57-51,34-37-40,05-07-09,35-36-39,09-07-08,35-38-38
29,57-58-51,26-24-21,57-54-52,26-28-21,52-56-51,34-34-40,10-06-10,35-38-39,09-06-08,35-33-38,09-08-07,35-37-37
30,52-57-52,,52-53-51,34-35-40,10-03-10,35-33-39,05-05-09,35-35-38,09-05-07,35-34-37,01-05-06,31-36-36
31,10-06-09,,10-02-10,,05-04-09,,09-04-08,35-36-37,,31-31-36,,36-35-35
