日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,01-06-10,36-31-39,09-10-03,31-38-32,01-01-02,36-40-31,10-09-01,34-40-40,09-02-09,39-31-39,09-07-08,33-31-38
2,10-05-09,34-40-38,01-07-02,36-37-31,10-02-01,34-37-40,08-08-10,40-39-39,09-09-08,33-40-38,09-08-07,33-32-37
3,08-04-08,39-39-37,10-08-01,34-36-40,08-09-10,39-38-39,09-07-09,33-38-38,09-10-07,33-39-37,15-15-16,45-49-46
4,09-03-07,37-37-36,08-05-10,39-35-39,09-10-09,33-35-38,09-06-08,33-37-37,15-17-16,45-48-46,20-16-15,44-50-45
5,09-02-06,34-38-35,09-06-09,37-34-36,09-07-08,33-36-37,09-05-07,45-46-46,20-18-15,44-47-45,18-13-14,42-47-44
6,10-01-06,42-45-44,07-03-06,34-33-35,10-08-05,42-43-44,15-14-16,44-45-45,18-15-14,42-46-44,13-14-13,43-48-43
7,18-20-13,46-46-43,10-04-05,42-42-44,18-15-14,46-44-43,20-13-15,42-44-44,13-16-13,43-45-43,17-11-12,43-45-42
8,16-19-14,41-43-42,18-11-14,46-41-43,16-16-13,41-41-42,17-12-12,41-44-41,11-13-20,43-44-42,18-12-19,44-46-49
9,17-18-11,41-44-41,16-12-13,41-50-42,17-13-12,41-42-41,17-11-11,41-41-50,18-14-19,44-43-49,16-19-18,42-43-48
10,17-17-12,41-41-50,17-19-12,41-49-41,17-14-11,41-49-50,11-20-20,44-42-49,16-11-18,42-42-48,20-20-17,50-44-47
11,11-16-19,44-42-49,17-20-11,41-48-50,11-11-20,44-50-49,18-19-19,42-49-48,20-12-17,50-41-47,15-17-16,41-41-46
12,18-15-20,42-47-48,11-17-20,44-47-49,18-12-19,42-47-48,16-18-18,50-50-47,15-19-16,41-50-46,15-18-15,41-42-45
13,16-14-17,46-48-47,18-18-19,42-46-48,16-19-18,50-48-47,20-17-17,41-47-46,15-20-15,41-49-45,25-28-24,55-59-54
14,12-13-18,41-45-44,16-15-18,46-45-47,12-12-17,41-45-46,15-16-16,41-48-45,25-27-24,55-58-54,28-26-23,52-60-53
15,15-12-15,49-46-43,12-16-17,41-42-44,15-19-16,41-46-45,16-15-15,55-55-54,28-28-23,52-57-53,26-23-22,60-57-52
16,13-19-16,53-53-52,15-13-14,49-41-43,13-20-13,53-53-52,29-24-24,52-60-53,26-25-22,60-56-52,30-30-21,56-58-51
17,29-28-26,51-54-55,14-13-13,53-60-52,29-27-22,51-55-51,28-23-23,60-57-52,30-26-21,56-55-51,25-27-30,59-55-60
18,27-27-25,53-51-54,29-22-22,51-56-55,27-28-21,58-54-60,22-30-30,56-58-59,25-23-28,59-54-60,23-28-27,57-56-57
19,23-24-24,52-60-53,27-21-25,53-53-54,23-25-24,56-53-53,30-29-29,52-55-58,23-23-27,57-59-57,27-25-26,53-54-56
20,30-23-23,52-57-52,23-30-24,52-54-53,30-26-23,51-52-52,26-28-28,57-56-57,27-22-26,53-58-56,25-26-25,51-53-55
21,26-22-22,51-58-51,28-29-23,52-51-52,26-29-22,52-51-51,22-21-21,53-53-60,25-21-29,51-57-55,27-23-28,57-52-58
22,22-21-21,51-55-60,26-28-22,60-52-51,21-30-21,51-60-60,27-30-30,51-54-59,27-30-28,57-57-58,30-24-27,54-51-57
23,25-30-30,51-56-59,21-27-21,51-59-60,25-27-30,51-59-59,25-29-29,57-59-58,26-29-27,54-58-57,36-39-36,10-10-06
24,25-29-29,57-53-58,25-26-30,51-60-59,25-28-29,57-58-58,27-28-28,52-60-57,36-38-36,10-05-06,35-40-35,05-09-05
25,27-28-28,52-54-57,25-25-29,57-57-58,27-25-28,52-57-57,26-27-27,10-07-06,35-37-35,05-06-05,35-37-34,09-08-04
26,26-27-27,10-01-06,27-24-28,52-58-57,26-26-27,10-06-06,35-36-36,05-08-05,35-36-34,09-03-04,35-38-33,09-07-03
27,34-36-34,05-02-05,26-23-27,10-05-06,34-33-36,05-03-05,36-35-35,09-05-04,35-35-33,09-04-03,31-35-32,01-06-02
28,35-35-33,09-09-04,34-32-36,05-06-05,35-34-35,09-02-04,35-34-34,09-06-03,31-34-32,01-01-02,36-36-31,10-05-01
29,35-34-32,,35-31-35,09-03-04,35-31-34,09-01-03,35-33-33,01-03-02,36-33-31,10-02-01,34-33-40,08-04-10
30,35-33-31,,35-40-34,09-04-03,35-32-33,01-10-02,31-32-32,10-04-01,34-32-40,08-09-10,39-34-39,09-03-09
31,31-32-40,,35-39-33,,31-39-32,,36-31-31,08-01-10,,09-10-09,,09-02-08
