日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,17-15-14,49-50-41,17-17-14,43-47-43,17-12-13,49-47-42,19-18-12,44-49-41,16-19-20,42-50-50,17-18-19,47-42-49
2,19-14-11,44-49-42,17-18-13,49-46-42,19-19-12,44-48-41,18-17-11,42-48-50,17-20-19,47-49-49,27-25-28,51-59-58
3,18-13-12,42-48-49,19-15-12,44-45-41,18-20-11,42-45-50,16-16-20,47-47-49,27-27-28,51-58-58,27-26-27,51-60-57
4,16-12-19,41-48-50,18-16-11,42-44-50,16-17-20,47-46-49,17-15-19,51-56-58,27-28-27,51-57-57,23-23-26,53-57-56
5,17-11-20,55-55-57,15-17-19,41-43-50,15-18-20,51-53-58,27-24-28,51-55-57,23-25-26,53-56-56,28-24-25,52-58-55
6,25-30-25,52-56-58,15-14-20,55-52-57,25-25-27,52-54-58,27-23-27,53-54-56,28-26-25,52-55-55,26-21-24,60-55-54
7,28-29-26,60-53-55,25-21-27,52-51-58,28-26-28,60-51-55,26-22-25,54-54-56,26-23-24,60-54-54,25-22-24,59-56-54
8,26-28-23,54-54-56,28-22-28,60-60-55,26-23-25,54-52-56,24-21-26,59-51-53,25-24-24,59-53-54,29-29-21,59-53-51
9,24-27-24,59-51-53,26-29-25,54-59-56,24-24-26,59-59-53,25-30-23,59-52-54,29-21-21,59-52-51,26-30-22,52-54-52
10,25-26-21,59-52-54,24-30-26,59-58-53,25-21-23,59-60-54,25-29-24,59-59-51,26-22-22,52-51-52,24-27-29,60-51-59
11,25-25-22,59-59-51,25-27-23,59-57-54,25-22-24,59-57-51,29-28-21,52-60-52,24-29-29,60-60-59,28-28-30,58-52-60
12,29-24-29,52-58-52,25-28-24,59-56-51,29-29-21,52-58-52,26-27-22,60-57-59,28-30-30,58-59-60,33-35-37,09-09-07
13,26-23-30,60-55-59,29-25-21,52-55-52,26-22-22,60-55-59,24-26-29,58-58-60,33-37-37,09-08-07,33-36-38,09-10-08
14,24-22-21,54-56-60,26-26-22,60-54-59,24-29-29,54-56-60,28-25-30,09-05-07,33-38-38,09-07-08,33-33-35,03-07-05
15,30-21-22,10-03-08,24-23-29,54-51-60,29-30-30,03-03-07,33-34-37,09-10-08,33-35-35,03-06-05,36-40-36,10-08-06
16,33-38-39,07-04-07,30-24-30,10-10-08,36-37-38,07-04-08,33-33-38,01-07-05,35-36-36,10-05-06,34-37-33,08-05-03
17,31-37-40,01-01-06,36-32-38,07-09-07,31-38-37,01-04-06,37-40-35,10-08-06,34-33-33,08-04-03,38-38-34,04-06-04
18,37-36-37,09-02-05,31-31-37,01-03-06,37-35-36,09-03-05,35-39-35,06-05-04,38-34-34,04-09-04,34-35-32,10-04-02
19,35-33-38,01-07-04,37-40-36,39-04-05,35-36-35,01-02-04,40-38-34,04-06-03,34-32-32,10-08-02,31-36-31,05-03-01
20,31-32-35,10-08-03,35-39-35,01-01-04,31-39-34,04-01-03,38-31-33,10-03-02,32-31-31,05-07-01,35-33-40,01-02-10
21,36-31-34,10-05-02,31-38-34,10-02-03,36-40-33,10-10-02,34-40-32,09-04-01,35-40-40,01-07-10,33-34-39,09-01-09
22,34-40-31,09-06-01,36-37-33,10-09-02,34-37-32,09-09-01,39-39-31,09-09-10,33-39-39,09-08-09,45-49-48,15-20-18
23,39-39-32,09-03-10,34-36-32,09-10-01,39-38-31,09-08-10,33-38-40,09-10-09,45-48-48,15-15-18,44-50-47,20-19-17
24,33-38-39,09-04-09,39-35-31,09-07-10,33-35-40,09-07-09,33-37-39,15-17-18,44-47-47,20-16-17,44-47-46,18-18-16
25,33-37-40,15-11-18,33-34-40,09-08-09,33-36-39,15-16-18,45-46-48,20-18-17,44-46-46,18-13-16,43-48-45,13-17-16
26,45-46-47,20-12-17,33-33-39,15-15-18,45-43-48,20-15-17,44-45-47,18-15-16,43-45-45,13-14-15,43-45-44,17-16-14
27,44-45-48,18-19-16,45-42-48,20-16-17,44-44-47,18-12-16,44-44-46,13-16-15,43-44-44,17-11-14,43-46-43,17-15-13
28,42-44-45,13-20-15,44-41-47,18-13-16,42-41-46,13-11-15,43-43-45,17-13-14,44-43-43,17-12-13,49-43-42,19-14-12
29,43-43-46,,42-50-46,13-14-15,43-42-45,17-20-14,43-42-44,17-14-13,49-42-42,19-19-12,44-44-41,18-13-11
30,43-42-43,,43-49-45,17-11-14,43-49-44,17-19-13,43-41-43,19-11-12,44-41-41,18-20-11,42-41-50,16-12-20
31,43-41-44,,43-48-44,,43-50-43,,49-50-42,18-12-11,,16-17-20,,17-11-19
