日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,33-34-34,09-09-03,36-38-31,08-06-10,34-39-40,09-08-09,39-37-39,09-08-08,33-40-37,09-09-07,45-45-46,15-19-16
2,39-33-33,09-08-02,34-35-40,09-05-09,39-40-39,09-05-08,33-36-38,09-07-07,45-47-46,15-18-16,44-46-45,20-20-15
3,33-32-32,09-07-01,39-36-39,09-04-08,33-37-38,09-06-07,33-35-37,15-16-16,44-48-45,20-17-15,42-43-44,18-17-14
4,33-31-31,18-15-20,33-33-38,09-03-07,33-38-37,15-13-16,45-44-46,20-15-15,42-45-44,18-16-14,43-44-43,13-18-13
5,42-50-49,16-16-19,34-38-31,18-12-20,42-45-50,20-14-15,44-43-45,18-14-14,43-46-43,13-15-13,43-41-42,17-15-12
6,46-49-50,17-13-18,42-41-50,16-11-19,46-46-49,17-11-18,42-42-44,14-13-13,43-43-42,17-14-12,43-42-41,17-16-11
7,41-48-47,17-14-17,46-42-49,17-20-18,41-43-48,17-12-17,41-41-47,11-11-16,43-44-41,17-13-11,42-49-44,16-13-14
8,41-47-48,11-11-16,41-49-48,17-19-17,41-44-47,11-19-16,41-50-46,18-12-15,42-41-44,16-12-14,50-50-43,20-14-13
9,41-46-45,18-12-15,41-50-47,11-18-16,41-41-46,18-20-15,44-49-45,16-19-14,50-42-43,20-11-13,41-47-42,15-11-12
10,44-45-46,16-19-14,41-47-46,18-17-15,44-42-45,16-17-14,42-48-44,20-20-13,41-49-42,15-20-12,41-48-41,15-12-11
11,42-44-43,20-20-13,44-48-45,16-16-14,42-49-44,20-18-13,50-47-43,15-17-12,41-50-41,15-19-11,55-55-60,25-29-30
12,50-43-44,15-15-12,42-45-44,20-15-13,50-50-43,15-15-12,41-46-42,15-18-11,55-57-60,25-28-30,52-56-59,28-30-29
13,41-42-41,15-16-11,50-46-43,15-14-12,41-49-42,15-16-11,41-45-41,25-25-30,52-58-59,28-27-29,60-53-58,26-27-28
14,41-41-42,29-23-28,41-43-42,15-13-11,41-50-41,29-23-30,55-54-60,28-26-29,60-55-58,26-26-28,54-54-57,24-28-27
15,53-58-59,27-24-27,41-44-41,29-30-28,53-57-58,28-24-29,52-53-59,26-27-28,54-56-57,24-25-27,59-57-56,25-25-26
16,51-57-59,22-21-26,53-51-58,27-29-27,51-58-57,22-21-26,60-52-58,30-28-27,59-53-56,25-24-26,59-58-55,25-26-25
17,58-56-58,30-22-23,51-51-57,22-28-26,58-55-56,30-23-25,56-59-55,25-25-24,59-54-55,25-23-25,53-55-52,27-23-22
18,56-53-57,26-29-22,58-60-56,30-24-23,56-56-53,26-22-24,52-58-54,23-26-23,53-51-52,27-28-22,51-56-51,25-23-21
19,52-52-56,21-28-21,56-59-53,26-21-22,52-53-52,22-21-21,57-57-53,27-23-22,52-51-51,25-27-21,56-53-60,22-22-30
20,51-51-55,25-25-30,52-58-52,21-22-21,51-60-51,27-30-30,53-60-60,25-24-29,56-60-60,22-26-30,54-54-57,30-21-27
21,51-60-54,25-26-29,51-57-51,25-29-30,51-57-60,25-29-29,51-59-59,27-21-28,54-59-57,30-28-27,10-01-06,36-40-36
22,51-59-53,27-23-28,51-56-60,25-30-29,51-58-59,27-28-28,57-58-58,26-30-27,10-08-06,36-35-36,05-10-05,35-39-35
23,57-58-52,26-24-27,51-55-59,27-27-28,57-55-58,26-27-27,52-57-57,36-37-36,05-07-05,35-36-35,09-07-04,35-38-34
24,52-57-51,36-31-36,57-54-58,26-28-27,52-56-57,35-36-36,10-06-06,35-38-35,09-06-04,35-33-34,09-08-03,35-37-33
25,10-06-10,35-32-35,52-53-57,36-35-36,10-03-06,36-35-35,06-05-05,35-35-34,09-05-03,35-34-33,01-05-02,31-36-32
26,05-05-09,35-39-34,10-02-06,35-36-35,05-04-05,35-32-34,09-04-04,35-36-33,01-04-02,31-31-32,10-06-01,36-35-31
27,09-04-08,35-40-33,05-01-05,35-33-34,09-01-04,35-31-33,09-03-03,31-33-32,10-03-01,36-32-31,10-03-10,34-34-40
28,09-03-07,31-37-32,09-10-04,35-34-33,09-02-03,31-40-32,01-02-02,36-34-31,10-02-10,34-39-40,09-04-09,39-33-39
29,01-02-06,,09-09-03,31-31-32,01-09-02,36-39-31,10-01-01,34-31-40,09-01-09,39-40-39,09-01-08,33-32-38
30,10-01-05,,01-08-02,36-32-31,10-10-01,34-38-40,08-10-10,39-32-39,09-10-08,33-37-38,09-02-07,33-31-37
31,08-10-04,,10-07-01,,08-07-10,,10-09-09,33-39-38,,33-38-37,,45-50-46
