日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,43-47-50,17-12-17,42-49-50,13-19-19,43-44-49,17-19-18,43-50-48,17-11-17,49-41-46,19-12-16,44-50-45,18-14-15
2,43-46-47,17-11-18,43-50-49,17-18-18,43-41-48,17-20-17,43-49-47,19-20-16,44-42-45,18-11-15,42-47-44,16-11-14
3,43-45-48,19-20-15,43-47-48,18-17-17,43-42-17,19-17-16,49-48-46,18-19-15,42-49-44,16-20-14,47-48-43,17-12-13
4,49-44-45,20-20-16,43-48-47,19-16-16,49-49-46,18-18-15,44-47-45,16-18-14,47-50-43,17-19-13,51-55-52,27-29-22
5,44-43-46,15-17-13,49-45-46,20-15-16,44-50-45,16-15-14,42-46-44,17-17-13,51-57-52,27-28-22,51-56-51,27-30-21
6,41-42-47,15-18-14,40-46-46,15-14-13,41-47-43,15-16-14,47-54-43,27-26-22,51-58-51,27-27-21,53-53-60,23-27-30
7,41-41-48,25-25-21,41-43-43,15-13-14,41-48-44,25-23-21,51-54-52,27-25-21,53-55-60,23-26-30,52-54-59,28-28-29
8,55-60-55,28-26-22,41-44-44,25-22-21,55-55-51,28-24-22,52-53-52,26-23-29,54-56-60,28-25-29,59-51-57,25-25-27
9,52-59-56,26-23-29,55-51-51,28-21-22,52-56-52,26-21-29,60-52-59,24-24-30,59-53-57,25-24-27,59-52-58,25-26-28
10,60-58-53,24-24-30,51-52-52,26-30-29,60-53-59,24-22-30,54-51-60,25-21-27,59-54-58,25-23-28,59-55-55,29-23-25
11,54-57-54,25-21-27,60-59-59,24-29-30,54-54-60,25-29-27,59-60-57,25-22-28,59-51-55,29-22-25,52-60-56,26-24-26
12,59-56-51,25-30-28,54-60-60,25-28-27,59-51-57,25-30-28,59-59-58,29-29-25,52-52-56,26-21-26,60-57-53,24-21-23
13,59-55-52,27-27-25,59-57-57,25-27-28,59-52-58,29-27-25,59-58-55,26-30-26,60-59-53,24-30-23,58-58-54,28-22-24
14,53-54-57,26-28-26,59-58-58,27-26-25,53-51-55,26-28-26,52-57-56,24-27-23,58-60-54,28-29-24,09-05-01,33-39-31
15,52-53-58,22-25-24,53-55-55,26-23-26,52-52-56,24-25-23,60-56-53,28-28-24,09-07-01,33-38-31,09-06-02,33-40-32
16,56-60-55,30-26-23,52-56-56,22-22-24,56-59-53,30-26-24,54-55-54,33-39-31,09-08-02,33-37-32,01-09-09,37-37-39
17,54-59-56,36-33-32,56-54-54,30-21-23,54-60-53,36-36-32,09-04-01,33-40-32,01-05-09,37-36-39,09-10-10,36-38-40
18,10-08-03,35-34-31,54-53-53,36-35-32,10-07-02,31-35-31,07-01-02,37-37-39,10-06-10,36-35-40,06-07-07,40-35-37
19,05-05-04,35-39-40,10-02-02,35-36-31,05-08-01,37-34-40,01-10-10,35-38-39,06-04-08,40-40-37,04-08-07,38-35-37
20,01-04-01,35-40-39,05-01-01,35-33-40,01-05-10,35-33-39,10-09-09,40-35-38,04-03-07,38-39-37,10-05-06,34-34-36
21,09-03-01,31-37-38,09-10-10,35-34-39,09-02-09,31-32-38,01-02-08,38-36-37,10-02-06,34-38-36,09-06-05,39-33-35
22,01-02-07,36-38-37,10-09-09,31-31-38,01-09-08,36-31-37,04-01-07,34-33-36,09-01-05,39-40-35,01-03-04,35-32-34
23,10-01-08,34-35-36,01-08-08,36-32-37,10-10-07,34-40-36,10-10-06,39-32-35,09-10-04,35-37-34,09-02-03,33-31-33
24,10-10-05,39-36-35,10-07-07,34-39-36,10-07-06,39-39-35,09-05-05,33-39-34,09-09-03,33-38-33,15-19-12,45-50-42
25,09-06-06,33-33-34,10-06-06,39-40-35,09-08-05,33-38-34,09-08-04,33-40-33,15-18-12,45-45-42,20-20-11,44-49-41
26,09-08-03,33-34-33,09-05-05,33-37-34,09-05-04,33-37-33,09-07-03,45-47-42,20-17-11,44-46-41,18-17-20,44-48-50
27,09-07-04,45-41-42,09-04-04,33-38-33,09-06-03,45-44-42,15-16-42,44-48-41,18-16-20,44-43-50,13-18-19,43-47-49
28,15-16-11,44-42-41,09-03-03,45-45-42,15-13-12,44-43-41,20-15-11,44-45-50,13-15-19,43-44-49,17-15-18,43-46-48
29,20-15-12,,15-12-12,44-46-41,20-14-11,42-42-50,18-14-20,43-46-49,17-14-18,43-41-48,17-16-17,43-45-47
30,18-14-19,,20-11-11,42-43-50,18-11-20,43-41-49,13-13-19,43-43-48,17-13-17,43-42-47,19-13-16,49-44-46
31,13-13-20,,18-20-20,,13-12-19,,17-12-18,43-44-47,,49-49-46,,44-43-45
