日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,42-42-44,17-17-13,42-43-47,17-13-18,47-48-48,27-23-25,51-54-55,27-25-26,53-55-53,23-26-23,52-54-54,28-28-24
2,47-41-43,27-26-22,47-44-48,27-22-25,51-55-55,27-24-26,51-53-56,23-24-23,52-56-54,28-25-24,60-51-51,26-25-21
3,51-60-52,27-25-21,51-51-55,27-21-26,51-56-56,23-21-23,53-52-53,28-23-24,60-53-51,26-24-21,51-52-52,21-26-22
4,51-59-51,23-24-30,51-52-56,23-30-23,54-53-53,28-22-24,52-51-54,26-22-21,51-54-52,21-23-22,51-59-59,25-23-29
5,53-58-60,24-24-29,60-59-60,24-29-29,54-54-59,25-29-28,60-60-51,21-21-22,51-51-59,25-22-29,51-60-60,25-24-30
6,54-57-60,25-21-28,54-60-59,25-28-28,59-51-58,25-30-27,51-59-52,25-30-29,51-52-60,25-21-30,58-57-57,27-21-27
7,59-56-57,25-22-27,59-57-58,25-27-27,59-52-57,29-27-26,59-58-56,26-30-25,60-59-54,27-30-27,58-58-53,28-22-23
8,59-55-58,29-29-26,59-58-57,29-26-26,59-59-56,26-28-25,52-57-55,24-27-24,58-60-53,28-29-23,09-05-02,33-39-32
9,59-54-55,26-30-25,59-55-56,26-25-25,52-60-55,24-25-24,60-56-54,28-28-23,09-07-02,33-38-32,09-06-01,33-40-31
10,52-53-56,24-27-24,52-56-55,23-24-24,60-57-54,28-26-23,58-55-53,33-35-32,09-08-01,33-37-31,03-03-10,33-37-40
11,60-52-53,28-28-23,60-53-54,28-23-23,58-58-53,33-33-32,09-04-02,33-36-31,03-05-10,33-36-40,10-04-09,36-38-39
12,58-51-54,33-35-32,58-54-53,33-32-32,09-05-02,33-34-31,09-03-01,33-33-40,10-06-09,36-35-39,08-01-08,34-35-38
13,09-10-01,33-34-31,09-01-02,33-31-31,09-08-01,37-31-40,03-02-10,36-34-39,08-03-08,34-34-38,02-02-07,32-36-37
14,09-09-02,37-31-40,09-02-01,37-40-40,01-05-10,36-32-39,10-01-09,34-31-38,02-04-07,32-33-37,07-09-06,33-33-36
15,01-08-09,36-32-37,01-09-08,36-37-37,10-06-07,40-39-36,08-10-08,38-36-37,07-01-06,33-32-36,07-06-05,33-34-35
16,10-05-10,40-39-36,09-09-07,40-36-36,06-03-06,38-31-35,04-09-07,33-33-36,07-02-05,33-31-35,01-03-04,35-31-34
17,06-04-08,38-40-35,06-08-06,38-35-35,04-04-05,34-40-34,07-06-04,31-34-33,01-09-02,35-40-34,10-04-01,34-32-31
18,04-03-07,34-37-39,04-07-02,34-39-39,10-01-09,39-39-40,05-05-03,35-31-32,09-09-01,34-35-31,14-11-20,49-50-50
19,10-10-06,39-38-40,10-06-09,39-40-40,09-02-10,35-38-37,01-04-02,33-32-31,14-18-20,50-44-50,12-12-19,48-49-19
20,09-09-05,33-33-37,09-05-10,33-37-37,09-05-07,33-37-38,09-07-08,45-49-45,12-17-16,48-43-49,18-19-43,44-48-43
21,09-08-04,33-34-38,09-04-07,33-38-38,09-06-08,45-46-45,15-16-15,48-50-46,18-16-13,44-43-43,13-20-14,43-47-44
22,09-07-03,45-41-45,09-03-08,46-45-45,15-13-15,44-45-46,20-15-16,44-45-43,13-15-14,43-44-44,17-15-11,43-46-41
23,15-16-12,44-42-46,15-12-15,44-46-46,20-14-16,44-44-43,18-14-13,43-46-44,17-14-11,43-41-41,17-16-12,43-45-42
24,20-15-11,44-49-43,20-11-16,44-43-43,18-11-13,43-43-44,13-13-14,43-43-41,17-13-12,43-42-42,19-13-19,49-44-49
25,18-14-20,43-50-44,18-20-13,43-44-44,13-12-14,43-42-41,17-12-11,43-44-42,19-12-19,50-49-49,18-14-20,44-43-50
26,13-13-19,43-47-41,13-19-14,43-41-41,17-19-11,43-49-42,17-11-12,49-41-49,18-11-20,44-50-50,18-11-17,42-42-47
27,17-12-18,43-48-42,17-18-11,43-42-42,17-20-12,49-48-49,19-20-19,44-42-50,18-20-17,42-47-47,17-12-18,47-41-48
28,17-11-17,49-45-49,17-17-12,50-49-49,19-17-19,44-47-50,18-19-20,42-49-47,17-19-18,47-48-48,27-29-25,51-60-55
29,19-20-16,44-46-50,19-16-19,44-50-50,18-18-20,42-46-47,16-18-17,47-50-48,27-28-25,51-55-55,27-30-26,51-59-56
30,18-19-15,,18-15-20,42-47-47,16-15-17,47-45-48,17-17-18,51-57-55,27-27-26,51-56-56,23-27-23,53-58-53
31,16-18-14,,16-14-17,,17-16-18,,27-26-25,51-58-56,,54-53-53,,52-57-54
