日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,60-56-51,21-21-22,52-60-52,26-28-29,60-51-59,21-30-30,51-59-60,25-30-27,51-52-58,25-21-28,57-57-55,27-21-25
2,51-55-52,25-30-29,60-57-59,21-27-30,51-52-60,25-27-27,51-58-57,25-29-28,57-59-55,27-30-25,52-58-56,26-22-26
3,51-54-59,25-29-30,51-58-60,25-26-27,51-59-57,25-28-28,51-57-58,27-28-25,52-60-56,26-29-26,10-05-03,34-39-33
4,51-53-60,24-27-27,51-55-57,25-25-28,51-60-58,27-25-25,57-56-55,26-27-26,10-07-03,34-38-33,05-06-04,35-40-34
5,60-52-54,27-28-28,51-56-58,24-24-27,57-57-55,25-26-26,52-55-56,34-36-33,05-08-04,35-37-34,09-03-01,35-37-31
6,58-51-53,33-35-35,60-53-57,28-23-28,57-58-58,33-33-35,10-04-03,35-35-34,09-05-01,35-36-31,09-04-02,35-38-32
7,09-10-02,33-36-36,58-54-58,33-32-35,09-05-05,33-34-36,09-03-06,35-34-31,09-06-02,35-35-32,08-01-01,34-35-31
8,09-09-01,34-33-33,09-01-05,33-31-36,09-06-06,33-31-33,03-02-03,36-34-34,08-03-01,34-34-31,01-02-02,32-36-32
9,03-08-10,36-34-34,09-02-06,33-40-33,02-03-03,36-32-34,10-01-04,34-31-31,02-04-02,32-33-32,07-09-09,33-33-39
10,10-07-09,34-31-31,03-09-03,36-39-34,10-04-04,34-39-31,08-10-01,31-32-32,07-01-09,33-32-39,07-10-10,33-34-40
11,08-06-08,31-32-32,10-10-04,34-38-31,08-01-01,32-40-32,02-09-02,33-39-39,07-02-10,33-31-40,08-07-07,37-31-37
12,02-05-07,33-37-31,08-07-01,32-37-32,01-02-02,33-37-39,07-08-09,33-40-40,07-09-07,37-40-37,10-08-08,34-32-38
13,07-04-06,33-38-32,02-08-02,33-36-31,07-09-09,33-38-40,07-07-10,38-37-37,10-10-08,34-39-38,18-15-15,42-49-45
14,07-03-05,35-35-39,07-05-01,33-35-32,07-02-02,35-35-39,07-06-07,34-38-38,18-17-15,42-48-45,15-16-16,46-50-46
15,01-10-02,33-36-40,07-06-02,35-32-39,01-09-09,34-36-40,10-05-10,42-45-45,16-18-16,46-47-46,17-19-15,41-47-45
16,09-09-01,50-43-47,01-03-09,33-31-40,09-10-10,50-43-47,18-14-17,48-50-48,17-15-15,41-46-45,17-20-16,41-48-46
17,14-18-20,48-44-48,09-03-10,50-50-47,14-17-17,48-45-48,12-11-18,41-47-45,17-16-16,41-45-46,19-17-13,45-45-43
18,12-15-16,44-41-45,14-12-17,48-46-48,12-18-18,44-44-45,18-20-15,49-48-46,19-13-13,45-50-43,17-18-14,43-45-44
19,18-14-43,43-50-42,12-11-18,44-43-45,18-15-15,43-43-46,15-19-16,45-45-43,17-13-14,43-49-44,14-15-11,48-44-41
20,13-13-14,43-47-49,18-20-15,43-44-42,13-16-16,45-42-43,19-12-13,43-46-44,14-12-11,48-48-41,12-16-12,46-43-42
21,17-12-11,43-48-50,13-19-12,43-41-49,17-19-19,43-41-50,17-11-14,49-43-41,12-11-12,46-50-42,18-13-19,42-42-49
22,17-11-12,49-45-47,17-18-19,43-42-50,17-20-20,49-50-47,19-20-17,46-44-42,18-20-19,42-47-49,17-12-16,47-41-46
23,19-20-19,44-46-48,17-17-20,49-49-47,19-17-17,44-49-48,18-19-18,42-49-45,17-19-16,47-48-46,27-29-23,51-60-53
24,18-19-20,42-43-45,19-16-17,44-50-48,17-18-18,42-48-45,18-18-15,47-50-46,27-28-23,51-55-53,27-30-24,51-59-54
25,18-18-17,47-44-46,18-15-18,42-47-45,18-15-15,47-47-46,17-17-16,51-57-53,27-27-24,51-56-54,23-27-21,53-58-51
26,17-17-18,51-51-53,18-14-15,47-48-46,17-16-16,51-56-53,27-26-23,51-58-54,23-26-21,53-53-51,28-28-22,52-57-52
27,27-26-25,51-52-54,17-13-16,51-55-53,27-23-23,51-53-54,27-25-24,53-55-51,28-25-22,52-54-52,26-25-29,52-56-59
28,27-25-26,53-59-51,27-22-23,51-56-54,27-24-24,53-52-51,23-24-21,52-56-52,26-24-29,52-51-59,21-26-30,51-55-60
29,23-24-23,,27-21-24,53-53-51,23-21-21,52-51-52,28-23-22,60-53-59,21-23-30,51-52-60,25-23-27,51-54-57
30,28-23-24,,23-30-21,52-54-52,28-22-22,60-60-59,26-22-29,51-54-60,25-22-27,51-59-57,25-24-28,51-53-58
31,26-22-21,,28-29-22,,26-29-29,,21-21-30,51-51-57,,51-60-58,,57-52-55
