日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,33-32-38,09-07-07,39-36-36,09-04-03,33-37-33,09-06-04,33-35-33,15-16-11,44-48-42,20-17-12,42-23-12,18-17-19
2,33-31-37,15-16-16,34-33-33,09-03-04,33-38-34,15-13-11,45-44-41,20-15-12,42-45-49,18-16-19,34-44-50,13-18-20
3,45-50-46,20-15-15,33-34-34,15-12-11,45-45-41,20-14-12,44-43-42,18-14-19,43-46-50,13-15-20,43-41-47,17-15-17
4,44-49-45,17-13-13,45-41-41,20-11-12,44-46-42,18-11-19,42-42-49,13-13-20,43-43-47,17-14-17,43-42-48,17-16-18
5,42-28-44,17-14-14,44-42-42,17-20-13,42-43-49,13-12-20,43-41-50,17-12-17,43-44-48,17-13-18,49-49-45,19-13-15
6,41-47-47,12-11-11,41-49-43,17-19-14,41-44-44,11-19-11,43-50-47,17-11-18,49-41-15,19-12-15,44-50-46,18-14-16
7,41-46-16,18-12-12,41-50-44,11-18-11,42-41-41,18-20-12,44-49-42,19-20-15,44-42-46,18-11-16,42-47-43,15-11-17
8,44-45-45,16-19-19,41-47-41,18-17-12,44-42-42,16-17-19,42-48-49,19-20-20,41-49-47,16-20-13,41-48-48,15-12-18
9,42-44-44,19-20-20,44-48-42,16-16-19,42-49-49,20-18-20,50-47-50,15-17-17,41-50-48,15-19-18,56-55-55,25-29-25
10,50-43-43,15-17-17,42-45-49,20-15-20,49-50-50,15-15-17,41-46-47,15-18-18,55-57-55,25-28-25,52-56-56,28-30-26
11,41-42-42,15-18-18,50-46-50,15-14-17,41-47-47,15-16-18,41-45-48,26-25-25,52-58-56,28-27-26,60-53-53,26-27-23
12,42-41-41,29-23-23,41-43-47,15-13-18,41-48-48,25-23-25,55-54-55,28-26-26,60-55-53,26-26-23,53-54-54,24-28-24
13,55-60-60,28-24-24,41-44-48,29-22-23,56-55-55,28-24-26,52-53-56,26-23-23,54-56-54,24-25-24,59-51-51,25-25-21
14,52-59-59,22-21-21,53-51-53,28-21-24,52-58-54,26-21-21,60-52-53,23-24-24,59-53-51,25-24-21,59-52-52,25-26-22
15,60-58-58,30-22-22,52-52-54,22-28-21,60-55-51,30-22-22,56-51-52,25-21-21,59-54-52,25-23-22,60-59-59,27-23-27
16,56-55-55,26-29-29,58-59-51,30-27-22,56-56-52,25-29-29,59-60-59,25-26-30,53-51-57,29-22-29,52-56-58,26-24-28
17,52-54-54,21-30-30,56-59-52,26-26-29,52-53-59,23-21-30,57-57-60,27-23-27,52-52-58,26-21-28,60-53-55,22-21-25
18,57-53-53,28-27-27,52-58-59,21-22-30,57-54-60,27-30-27,53-56-57,26-24-28,56-59-55,24-30-25,54-54-56,30-21-26
19,53-60-60,25-26-26,51-57-60,27-29-27,53-51-57,25-29-28,51-55-58,22-21-25,54-59-56,30-25-26,10-01-03,36-40-33
20,51-59-59,27-23-23,53-56-57,25-30-26,51-52-58,27-28-25,57-58-55,30-22-26,10-08-03,36-34-33,07-02-04,35-39-34
21,57-58-58,26-24-24,51-55-56,27-27-23,57-55-53,26-27-24,54-57-56,36-39-33,05-07-04,31-33-34,01-09-01,37-38-31
22,52-57-57,36-31-31,57-54-53,26-28-24,52-56-54,36-36-31,10-06-01,35-40-34,01-06-01,37-33-31,09-10-02,35-37-40
23,10-06-06,35-32-32,52-53-54,36-35-31,10-03-01,35-35-32,05-05-02,35-35-32,09-05-10,35-34-32,01-05-07,31-36-37
24,06-05-05,35-39-39,10-02-01,35-36-32,05-04-02,35-34-39,09-04-09,35-36-40,01-04-07,31-31-37,10-06-08,36-35-38
25,09-04-04,35-40-40,05-01-02,35-33-39,09-01-09,35-33-40,09-03-10,31-33-37,10-03-08,36-32-38,10-03-05,34-34-35
26,09-03-03,31-37-37,09-10-09,35-34-40,09-02-10,31-32-37,01-02-07,36-34-38,10-02-05,34-39-35,09-04-06,39-33-36
27,01-02-02,36-38-38,09-09-10,31-31-37,01-09-07,36-39-38,10-01-08,34-31-35,09-01-06,39-40-36,09-04-06,33-32-33
28,10-01-01,34-35-35,01-08-07,36-32-38,10-10-08,34-38-35,08-10-05,39-32-36,09-10-03,33-37-33,09-02-04,33-31-34
29,08-10-10,,10-07-08,34-39-35,08-07-05,39-37-36,09-09-06,33-39-33,09-09-04,33-38-34,15-19-11,45-50-41
30,10-09-09,,08-06-05,39-40-36,09-08-06,33-36-33,09-08-03,33-40-34,15-18-11,45-45-41,20-20-12,44-49-42
31,09-08-08,,09-05-06,,09-05-03,,09-07-04,45-47-41,,44-46-42,,42-48-49
