日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,27-30-28,51-55-57,17-14-18,51-52-55,27-25-25,51-54-56,27-23-26,53-54-53,28-26-24,52-55-54,26-21-21,60-55-51
2,27-29-27,53-54-56,27-21-25,51-51-56,27-26-26,53-51-53,23-22-23,52-53-54,26-23-21,60-54-51,21-22-22,51-56-52
3,23-28-26,52-53-55,27-22-26,53-60-53,24-23-23,52-52-54,28-21-24,60-52-51,21-24-22,51-53-52,25-29-29,51-53-59
4,28-27-25,59-51-54,23-29-23,52-59-54,28-24-24,60-59-51,26-30-21,51-51-52,25-21-29,51-52-59,25-30-30,51-54-60
5,26-26-24,59-52-53,24-24-25,59-58-54,26-21-21,51-60-52,21-29-22,51-60-59,25-22-30,51-51-60,28-27-27,57-51-57
6,25-25-24,59-59-52,25-27-24,59-57-53,25-22-23,59-57-52,25-28-29,51-59-60,27-29-27,57-60-57,26-28-28,52-52-58
7,29-24-21,52-60-51,25-28-23,59-56-52,29-29-22,52-58-51,26-27-21,57-58-57,26-30-28,52-59-58,34-35-35,09-09-08
8,26-23-22,60-57-60,29-25-22,52-55-51,26-30-21,60-55-60,24-26-30,58-58-59,33-37-38,09-08-08,33-36-37,09-10-07
9,24-22-29,58-58-59,26-26-21,60-54-60,24-27-30,58-56-59,28-25-29,09-05-08,33-38-37,09-07-07,33-33-36,03-07-06
10,28-21-30,09-05-08,24-23-30,58-53-59,28-28-29,09-03-08,33-34-38,09-06-07,33-35-36,03-06-06,36-34-35,10-08-05
11,33-40-37,09-06-07,28-24-29,09-02-08,33-35-38,09-04-07,33-33-37,03-03-06,36-36-35,10-05-05,34-31-34,08-05-04
12,33-39-38,01-01-06,33-31-38,09-01-07,33-36-37,03-01-06,33-32-36,10-04-05,34-33-34,08-04-04,32-32-33,02-06-03
13,33-38-35,10-02-05,33-32-37,01-10-06,33-33-36,10-02-05,36-31-35,08-01-04,32-34-33,02-03-03,33-39-32,07-03-02
14,36-37-36,06-09-10,37-39-36,10-09-05,36-36-35,08-09-04,34-40-34,02-02-03,33-31-32,07-02-02,33-40-31,07-04-01
15,34-36-33,04-10-09,36-40-35,06-06-10,34-33-34,04-10-03,38-39-33,07-09-02,33-32-31,07-01-01,37-37-40,01-01-10
16,38-33-34,10-07-08,40-37-40,04-05-09,38-34-39,07-07-08,33-38-32,07-04-01,35-39-40,01-10-10,34-34-39,10-02-09
17,34-32-32,09-08-10,38-37-39,10-04-08,34-31-38,05-09-07,31-35-37,01-01-10,34-40-39,10-09-09,42-41-48,14-19-14
18,32-31-31,01-05-07,34-36-38,09-10-10,31-32-37,01-08-06,35-34-36,10-02-05,50-47-44,13-14-14,48-42-43,12-19-13
19,35-38-40,09-04-08,39-35-40,01-07-07,35-39-37,09-07-08,33-33-35,14-19-14,48-47-43,12-13-13,44-49-42,18-18-12
20,33-37-39,15-11-15,35-34-37,09-08-08,33-40-38,15-16-15,45-46-45,12-20-13,44-46-42,18-12-12,49-50-41,13-17-14
21,45-46-48,20-12-16,33-33-38,16-15-15,45-43-45,20-15-16,48-45-46,18-17-13,43-45-44,13-14-14,45-47-41,19-16-11
22,44-45-47,18-19-13,45-42-45,20-16-16,44-44-46,18-14-13,44-44-43,13-18-14,45-44-41,19-11-11,43-48-42,17-15-12
23,44-44-46,13-20-14,44-41-46,18-13-13,44-41-43,13-13-14,43-43-44,17-13-11,43-43-42,17-12-12,49-43-49,19-14-19
24,43-43-45,17-17-11,44-50-43,13-14-14,43-42-44,17-12-11,43-42-41,17-14-12,49-42-49,20-19-19,44-44-50,18-13-20
25,43-42-44,17-18-12,43-49-44,17-11-11,43-49-41,17-11-12,43-41-42,19-11-11,44-41-50,18-20-20,42-41-47,18-12-17
26,43-41-43,19-15-19,43-48-41,17-12-12,43-50-42,19-20-19,49-50-49,18-12-20,42-50-47,18-17-17,47-42-48,17-11-18
27,49-50-42,18-16-20,43-47-42,20-19-19,49-47-49,18-17-20,44-49-50,18-19-17,47-49-48,17-18-18,51-59-55,27-30-25
28,44-49-41,16-13-17,49-46-49,18-20-20,44-48-50,16-16-17,42-48-47,17-20-18,51-58-55,27-25-25,51-60-56,27-29-26
29,42-48-50,,44-45-50,16-17-17,42-45-47,17-15-18,47-47-48,27-27-25,51-57-56,27-26-26,53-57-53,23-28-23
30,47-47-49,,42-44-47,17-18-20,47-46-48,27-24-25,51-56-55,27-28-26,53-56-53,24-23-23,52-58-54,28-27-24
31,51-56-58,,47-43-48,,51-53-55,,51-55-56,23-25-23,,28-24-24,,26-26-21
