日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,52-51-56,34-36-33,57-53-56,26-23-25,52-58-55,34-33-34,10-04-04,35-35-33,09-05-02,35-36-32,09-04-01,35-38-31
2,10-10-03,35-35-34,52-54-55,34-32-34,10-05-04,35-34-33,05-03-03,35-34-32,09-06-01,35-35-31,01-01-10,31-35-38
3,05-09-04,35-34-31,10-01-04,35-31-33,05-06-03,35-31-32,09-02-02,35-33-31,01-03-10,31-34-40,10-02-09,36-36-39
4,09-08-01,36-34-32,05-02-03,35-40-32,09-03-02,35-32-31,09-01-01,31-32-40,10-04-09,36-33-39,08-09-08,34-33-38
5,09-07-02,34-31-39,09-09-02,36-39-32,09-04-01,31-39-40,01-10-10,36-31-39,08-01-08,34-32-38,09-10-07,39-34-37
6,08-06-01,33-32-40,10-10-02,34-38-39,08-01-09,32-40-40,10-09-09,34-40-38,09-02-07,39-31-37,09-07-06,33-31-36
7,02-05-02,33-39-37,08-07-09,32-37-40,02-02-10,33-37-37,07-08-07,39-39-37,09-09-06,33-40-36,09-08-05,34-32-36
8,07-04-09,33-40-38,02-08-10,33-36-37,07-09-07,33-38-38,07-07-08,37-37-35,10-10-06,33-39-35,18-15-13,42-49-43
9,07-03-10,37-37-35,07-05-07,33-35-38,07-10-08,37-35-35,07-06-05,34-38-36,18-17-13,42-48-43,16-16-14,46-50-44
10,07-02-07,34-38-36,07-06-08,37-34-35,07-07-05,34-36-36,10-05-06,42-45-43,16-18-14,46-47-44,17-13-11,41-47-41
11,10-01-08,42-45-43,07-03-05,34-33-36,10-08-06,42-43-43,18-14-13,46-46-44,17-15-11,41-46-41,17-14-12,41-48-42
12,18-20-15,48-44-44,10-04-06,42-42-43,18-15-13,46-44-44,16-13-14,41-43-41,17-16-12,41-45-42,11-11-19,41-45-49
13,16-19-16,42-41-41,18-11-13,48-41-44,16-16-14,42-41-41,17-12-11,41-44-42,11-13-19,41-44-49,18-12-20,44-46-50
14,17-18-15,49-42-42,12-12-14,41-50-41,17-15-11,41-42-42,17-11-12,41-41-49,18-14-20,44-43-50,19-19-17,42-43-47
15,17-17-16,45-49-42,17-19-11,49-47-42,17-16-12,45-49-49,19-20-19,44-42-50,16-11-17,42-42-47,20-20-18,46-44-48
16,19-14-13,43-50-41,15-20-12,45-46-42,19-13-19,44-50-50,18-19-20,42-43-47,12-12-18,50-41-48,15-13-15,41-41-45
17,17-13-14,49-47-50,19-18-12,43-45-41,17-14-11,48-50-50,14-16-17,46-44-48,15-19-15,41-50-45,15-14-16,49-42-46
18,14-12-11,46-48-49,17-17-11,49-49-50,14-11-20,46-49-49,12-15-19,41-41-45,13-20-16,41-49-46,29-21-23,53-60-56
19,12-19-12,42-43-48,19-16-20,46-50-49,12-12-19,42-48-48,18-14-18,49-42-47,29-28-26,53-54-53,27-22-25,51-59-55
20,18-18-19,47-44-47,12-15-19,42-47-48,18-19-18,48-47-47,18-17-17,53-59-56,27-27-25,51-53-55,22-29-24,53-58-54
21,17-17-16,51-51-56,18-14-18,47-48-47,17-16-17,51-56-56,29-26-26,51-60-55,23-26-24,58-52-54,30-30-23,56-57-53
22,27-26-23,51-52-55,17-13-17,51-55-56,27-23-26,51-55-55,27-25-25,53-57-54,30-25-23,53-54-53,26-27-22,52-56-52
23,27-25-24,53-59-54,27-22-26,51-56-55,27-24-25,53-54-54,23-24-24,52-56-53,26-24-22,52-51-52,21-26-21,51-55-51
24,23-24-21,52-60-53,27-21-25,53-53-54,23-21-24,52-53-53,28-23-23,52-53-52,21-23-21,51-52-51,25-23-30,51-54-60
25,28-23-22,60-57-60,23-30-24,52-54-53,28-22-23,51-52-52,26-22-22,51-54-51,25-22-30,51-59-60,25-24-29,51-53-59
26,26-22-29,51-58-59,28-29-23,60-51-60,26-29-22,52-51-51,22-21-21,51-51-60,25-21-29,51-60-59,27-21-28,57-52-58
27,21-21-30,51-55-58,26-28-30,51-52-59,21-30-29,51-58-58,25-30-30,51-52-59,27-30-28,57-57-58,26-27-27,52-51-57
28,25-30-27,51-56-57,21-27-29,51-59-58,25-27-28,51-57-57,25-29-27,57-59-58,26-29-27,52-58-57,36-39-36,10-10-04
29,25-29-28,,25-26-28,51-60-57,25-28-27,57-56-56,27-28-26,52-60-55,34-38-34,10-05-06,35-40-33,05-09-03
30,27-28-25,,25-25-27,57-57-56,27-25-26,52-55-55,26-27-25,10-07-04,35-37-33,05-06-03,35-37-32,09-08-02
31,26-27-26,,27-24-26,,26-26-25,,34-36-34,05-08-03,,09-03-02,,09-07-01
